0k0le/Arduino-LCD-Library	Sketch
1n5aN1aC/HouseESP	Not a library
221robotics/RobotOpen-Sasquatch-Library	Hardware package
246overclocked/RoverArduino	Collection of library copies
2fatdotco/sxsw2016-arduinoLampLibraries	Collection of library copies
2splat/arduino-TLC59116	Has some makefile system for generating the library that causes the script to detect spurious bugs
8-DK/ESP32_IDF_MFRC522_RFID	Not an Arduino library
a-chapman/ArduinoOTA	Not a library
a71cip/Arduino-TestLedLibrary	Low quality
aasimmerchant05/ADS1248_Library_Arduino	Sketch
abhaysbharadwaj/RFID-RC522	Sketch
acamilo/good-display-eink-library	Low quality
achase90/thesisArduinoLibs	Collection of library copies
aferodeveloper/afLib2	Has some "internal repo" where the development work is hidden away so it's too much of a hassle to try to contribute: https://github.com/aferodeveloper/afLib2/pull/2
AdamM18/Arduino-Data-Logging	Sketch
aemills77/WS2812-LED-fade	Sketch
ahmadabd/myString	Low quality
AJoao/embeddedlibs	Collection of library copies
albertchen408/ArduinoEscControl	Not a library
alessandro1105/MRF24WB0MA_WiFiShield_Arduino_Library	Not a library
AlexanderPCafa/refactored-computing-machine	Sketch
AlexisTM/LightBus-Arduino	Low quality
alexnette/VariableSpeedServo	Particle library
ALoecken/LEDCountdown	Sketch
alotaiba/AccelStepperSpark	Particle library spamming the arduino GitHub topic
alotaiba/HT1635B	Particle library
alotaiba/LED_GFX	Particle library
alotaiba/PCA9534	Particle library
alvarosaburido/yun-sensor-mote	Sketch
alvieboy/arduino-serpro	Low quality
AM2H-Development/AM2H-Arduino	Sketchbook
amalmathewtech/Capacitive-_Touch-_Keyboard	Sketch
amalmathewtech/Touch-Enabled-on-off-light	Sketch
amperka/dht	Not Arduino IDE compatible
AndFroSwe/MPU9250-RPi	Not an Arduino library
AndreasBur/MaxMatrix	Low quality
andrebahiense/PolyphonicPiano	Not a library
AndrewFromMelbourne/intervalometer	Sketch
AndruePeters/etally-counter	Sketch
anil-gangwani/4-devices-with-led-alexa	Sketch
anisimovsergey/gluino	Uses a makefile system that causes the script to detect spurious bugs
anjgola/aws-iot-device-sdk-cpp-arduino-create	Duplicate: https://github.com/anjgola/aws-iot-device-sdk-cpp-arduino-create/pull/1#issuecomment-405134698
anobin/ERAU_Secon2011	Sketch
AphexIce/salamander-arduino	Collection of library copies
ArduCAM/ArduCAM_ESP8266_UNO	Hardware package
Arduinobymyself/ElectronicDoorLock	Sketch
ArduinoCore-CMakeBuilder	Not a library
ArduinoYun-x86_64-OpenWRT-mips-linux-toolchain	Not a library
ardypro/lwSimpleHTTPClient	Low quality
areusch/libAVR	Not an Arduino library
arkadiuszneuman/ArduinoLibrary	Collection of library copies
armerala/SpaceInvadersClone	Sketch
ArminJo/Arduino-Touch-GUI	Not an Arduino library
Arthom/MAX6675-Library	Not an Arduino library
ArthurMLago/Arduino-Async-Dynamixel	Sketch
arvindb/RemoteRelay	Not a library
AryaDevops/Working-with-XBee-Arduino-Library	Sketch
Aschen/arduino_realtime_library	Low quality
asease1/P5ArduinoCode	Not a library
ashandinusha/rfid_checking	Sketch
astups/libCommUsb	Not an Arduino library
athulvijayan6/pic-arduino	Not an Arduino library
automaticdai/gd2-lib	Has some release script that causes the script to detect spurious bugs
AwesomeController/bluez-arduino	Not an Arduino library
AwesomeController/wiiuse-arduino	Not an Arduino library
awwdang/Capacitive_touch	Sketch
AyeEmWhy/Rhythm_Game	Sketch
Azostar/Dino-Run	Sketch
babychick/Arduino-library	Collection of library copies
BackupGGCode/arms22	Sketchbook
badarineo/LTC6904	Sketch
bahoho/64x128-Oled-arduino	Sketch
basarane/kemper-arduino-library	Collection of library copies
BayCEER/BayEOS-Arduino	Hardware package
BCLab-UNM/Swarmathon-Arduino	Collection of library copies
beadone/STM32-nRF24L01_dht21_TX	Sketch
